date, text, containsChildLabour, containsChildSexualExploitation, containsChildTrafficking, containsDomesticServitude, containsForcedCriminality, containsForcedLabour, containsForcedMarriage, containsLabourExploitation, containsSexualExploitation, containsOther, childLabourConfidence, childSexualExploitationConfidence, childTraffickingConfidence, domesticServitudeConfidence, forcedCriminalityConfidence, forcedLabourConfidence, forcedMarriageConfidence, labourExploitationConfidence, sexualExploitationConfidence, otherConfidence
22-03-2019, Instead of the promised jobs the women had to work in German brothels to pay off their debts and those who refused were forced physically ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,0 ,0, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.27, 0.73, 0.00, 0.00
22-03-2019, Globally an estimated 152 million children between the ages of 5 and 17 are victims of child labour and almost half work in hazardous conditions ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00
22-03-2019, His passport was confiscated and he was forced to work 17-hour days cooking and cleaning with a thin foam mattress in the hallway as his bed ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,1 ,0 ,0, 0.00, 0.00, 0.00, 0.30, 0.00, 0.01, 0.00, 0.65, 0.01, 0.00
22-03-2019, Victims are often isolated locked in the property and forced to sleep on floors and in cupboards ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0, 0.01, 0.01, 0.01, 0.01, 0.64, 0.02, 0.02, 0.23, 0.04, 0.01
22-03-2019, In the morning men paid to have sex with us; and every night the gang would tie us up cover our eyes and separate us ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.94, 0.06
22-03-2019, The two most common activities for which victims were exploited was forced labour in cannabis cultivation petty crime and begging ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
22-03-2019, He would have to water cannabis to pay off his debt and be able to send money to his mother and sisters ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
22-03-2019, A Quitman man has pleaded guilty to two charges accusing him of coercing an underage victim to pose nude for photos ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0, 0.00, 0.92, 0.01, 0.01, 0.00, 0.00, 0.01, 0.00, 0.05, 0.00
22-03-2019, I had to work all the time without a day off and I slept on the floor by her bed ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,1 ,0 ,0, 0.00, 0.00, 0.00, 0.29, 0.00, 0.00, 0.00, 0.71, 0.00, 0.00
22-03-2019, Child marriage is also often accompanied by early and frequent pregnancy and childbirth resulting in higher than average maternal morbidity and mortality rates ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.25, 0.00, 0.75, 0.00
22-03-2019, There is no school. No salary. No playmates. They are treated like slaves. ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0, 0.02, 0.02, 0.01, 0.02, 0.02, 0.02, 0.06, 0.20, 0.62, 0.01
22-03-2019, Delhi high court ended proceedings against a couple who had employed a minor for household work ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0, 0.98, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
22-03-2019, n Malaysia men can legally marry under 18 if they get Islamic sharia court approval ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0, 0.01, 0.00, 0.00, 0.00, 0.00, 0.00, 0.07, 0.00, 0.90, 0.01
22-03-2019, It can involve violent humiliating and degrading sexual assaults. ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0, 0.00, 0.01, 0.00, 0.00, 0.00, 0.00, 0.01, 0.00, 0.96, 0.00
22-03-2019, Violent attacks on women in the brothels are as common as ever. âThe men feel even more entitled when the law tells them it is OK to buy usâ ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1, 0.00, 0.00, 0.01, 0.00, 0.00, 0.01, 0.00, 0.01, 0.77, 0.19
22-03-2019, Our research into the business models of modern slavery in the UK explored various situations where workers were forced into working long hours with little pay ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00
22-03-2019, At the first level child marriage is understood as a channel leading to various forms of sexual violence against children such as trafficking prostitution pornography or exposure to high levels of vulnerability that in turn may result in sexual victimisation ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.25, 0.00, 0.75, 0.00
22-03-2019, Marriage by abduction has been practiced throughout history around the world and continues to occur in some countries today particularly in Central Asia the Caucasus and parts of Africa. A girl or a woman is kidnapped by the groom-to-be who is often helped by his friends ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
22-03-2019, majority of victims were convicted by authorities for cannabis cultivation ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
22-03-2019, She was taken from Dublin Airport to a hotel in Sligo where she was held against her will and told that she would have to work as a prostitute to pay off the cost of her travel. ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.94, 0.06
22-03-2019, I was forced to care for a bed-ridden old man and was beaten badly ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,1 ,0 ,0, 0.00, 0.00, 0.00, 0.29, 0.00, 0.00, 0.00, 0.71, 0.00, 0.00
22-03-2019, victims are either handed over directly to another person who is part of the trafficking chain that transports the victim to a cannabis farm ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
22-03-2019, Children are also recruited and forced to beg on the streets ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0, 0.00, 0.00, 0.00, 0.00, 0.98, 0.00, 0.00, 0.00, 0.00, 0.00
22-03-2019, Trafficking for forced criminal activities refers to individuals that are forced by criminal networks to commit crime ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0, 0.04, 0.01, 0.01, 0.02, 0.73, 0.07, 0.03, 0.03, 0.05, 0.01
22-03-2019, The two most common activities for which victims were exploited was forced labour in cannabis cultivation petty crime and begging ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
22-03-2019, For months Rose was never paid and beaten for the smallest infraction. ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0, 0.00, 0.00, 0.00, 0.16, 0.00, 0.00, 0.00, 0.01, 0.80, 0.01
22-03-2019, Investigators said analysis of Juneauâs phone and computers has so far found more than 500000 images and videos of child sexual exploitation and voyeurism ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0, 0.00, 0.99, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
22-03-2019, Those that are allowed to venture outside will be accompanied by a member of the criminal network or controlled by mobile phones ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
22-03-2019, She wanted to run away but her captors had her passport ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,1 ,0 ,0, 0.00, 0.00, 0.00, 0.29, 0.00, 0.00, 0.00, 0.71, 0.00, 0.00
22-03-2019, Indiaâs children used to almost entirely work on farms but are now moving to non-farm jobs especially in the services sector ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0, 0.98, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
22-03-2019, There is no school. No salary. No playmates. They are treated like slaves. ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0, 0.02, 0.02, 0.01, 0.02, 0.02, 0.02, 0.06, 0.20, 0.62, 0.01
22-03-2019, traffickers make promises of a better life which for those from poor backgrounds or under pressure from impoverished and/or indebted families ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
22-03-2019, Elvira 50 from the Philippines also arrived at Heathrow in 2014 and was taken to a luxury flat in Londonâs Kensington where she was forced to work 20 hours a day ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0, 0.00, 0.00, 0.00, 0.99, 0.00, 0.00, 0.00, 0.01, 0.00, 0.00
22-03-2019, Due to poverty children in Balochistan are compelled to work for their families from a young age ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
22-03-2019, Globally an estimated 152 million children between the ages of 5 and 17 are victims of child labour and almost half work in hazardous conditions ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00
22-03-2019, she was forced to work 20-hour shifts cleaning Mary's flat ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,1 ,0 ,0, 0.01, 0.00, 0.00, 0.80, 0.00, 0.00, 0.01, 0.16, 0.01, 0.00
22-03-2019, This culture of virginity is exploited by perpetrators of forced marriage to isolate women from developing a healthy understanding of their sexuality sexual consent and their own bodily autonomy ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.25, 0.00, 0.75, 0.00
22-03-2019, Debt bondage is a common means of controlling trafficking victims ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
22-03-2019, Instead of the promised jobs the women had to work in German brothels to pay off their debts and those who refused were forced physically ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,0 ,0, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.27, 0.73, 0.00, 0.00
22-03-2019, When they finally opened the door again a policeman was standing over us. We thought we were saved. Then he turned to the gang members and said: âItâs good you finally got some new girls. Let me try them first.â He was the first person to rape us. Then the gang members raped us. ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0, 0.00, 0.00, 0.00, 0.02, 0.00, 0.00, 0.00, 0.00, 0.96, 0.00
22-03-2019, Glassman said child trafficking victims are often âinitially lured through the Internetâ ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0, 0.00, 0.09, 0.02, 0.02, 0.31, 0.01, 0.01, 0.01, 0.51, 0.01
22-03-2019, India is the worldâs second largest manufacturer and exporter of fashion garments after China with some 13 million people working in factories within its supply chain alone ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.99, 0.00, 0.00
22-03-2019, I had to work all the time without a day off and I slept on the floor by her bed ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,1 ,0 ,0, 0.00, 0.00, 0.00, 0.29, 0.00, 0.00, 0.00, 0.71, 0.00, 0.00
